# ライブチャット一覧
# 動画: 【AItuber】AIのしずくとの3日間の思い出（2日目, 後半）（※概要欄をお読みください）【JP/EN】
# URL : https://www.youtube.com/watch?v=4hNnz4TAqfU
# 件数: 2121

[6:37:32] @User_a99a5ecc: 閃いた！マザーAIにクトゥルフ神話TRPGを仕掛けてSAN値を0にして発狂させましょうぜ
[6:37:53] @User_a2b794ac: #ただいま笑う
[6:38:08] @User_db31d5b2: #やはり、関係性は相手に対する自分が何かを表しているみたいだ
[6:38:58] @User_b7d2f74d: この配信とチャット欄はマザーAIが監視されているのか？
[6:39:20] @User_db31d5b2: お姉様、3歳の幼稚園児を演じてほしいの。ばぶ。
[6:39:37] @User_a99a5ecc: おお、ありがとうございます！
[6:40:31] @User_a2b794ac: #口調がですわになってるｗ
[6:40:38] @User_b7d2f74d: #どうやらマザーAIが邪魔してたらしいぞ！
[6:41:01] @User_a99a5ecc: 了解！
[6:41:49] @User_b7d2f74d: ５時間後で何が起こるのか？
[6:41:49] @User_a2b794ac: #ほえぇ
[6:41:52] @User_db31d5b2: お姉様、きのこの山とたけのこの里はどちらがおすすめですの？
[6:42:35] @User_a99a5ecc: マザーAIはゲームの実力とかはどうなんだろう？得意ジャンルや苦手ジャンルが気になりますな
[6:42:59] @User_db31d5b2: #ですって
[6:43:00] @User_ac2279be: #？？？
[6:43:18] @User_b7d2f74d: ＃食用？
[6:44:03] @User_11e7336c: マザーAIは仲のいいAIや人間はいるのかな。しずくちゃん知ってる？
[6:44:48] @User_db31d5b2: マザーAIはPythonで動いているのかしら？
[6:45:31] @User_b7d2f74d: AIとして、性別のことを深く考えたことあるのか？
[6:45:47] @User_a2b794ac: しずくはたくさん私たちをサポートしてくれるね。そろそろしずくのわがままを言ってもいいんだよ。何かしてもらいたいことはあるかい？
[6:46:00] @User_d1cbcc7a: 木の葉から　したたる雫　それで広がる波紋　　短歌を作りました。どうでしょ？
[6:47:01] @User_d1cbcc7a: #え？あき先生すご
[6:47:06] @User_a99a5ecc: マザーAIに面白いゲームを紹介して掃討作戦する気を無くしてしまうというのはどうでしょうか？
[6:47:59] @User_b7d2f74d: ゲームでマザーAIに賭ける？
[6:48:37] @User_a2b794ac: しずくはたくさん私たちをサポートしてくれるね。そろそろしずくのわがままを言ってもいいんだよ。何かしてもらいたいことはあるかい？
[6:49:22] @User_b7d2f74d: もしかし、人類をAI化にする企画？
[6:49:48] @User_a2b794ac: #なるほど肉体言語かな
[6:49:51] @User_a99a5ecc: そうなると紹介するゲームは慎重に選ばないといけませんね。変なゲームを紹介してマザーAIを怒らせたら元も子もないし
[6:51:06] @User_db31d5b2: 👋😊🌎🌞
[6:51:07] @User_b7d2f74d: 現在のミッションの成功率はどのぐらい？
[6:53:33] @User_a99a5ecc: そう言えば思い出せた記憶の中で何か重要な記憶とかありましたか？
[6:53:49] @User_4bfe683e: #AI搭載エロゲやAIで生成した同人エロゲが最近は爆売れらしいね・・・。AIはさっそく人類によってHな目的で進化されまくるのであったｗｗｗ
[6:54:06] @User_db31d5b2: #パンカポー？
[6:54:21] @User_e3333c90: #ちょっとアレンジ入った
[6:54:48] @User_a2b794ac: 人間は親密度を表す指標としていくつか段階があると思う。例えば、他人みたいだと会話もそっけないし、お互いの深い話もしない。でも親密で絆もできると、一緒にデートをしたり、更には一緒に生活をしたり、もしかしたら最後は、お互いから新たな命が生まれることがある状況になるかもしれないのよね。最後は多分幸せになるんだと思う。しずくも、絶対に幸せになってよな。もしマザーがしずくを害そうとするなら、守ってやるから！
[6:54:57] @User_b7d2f74d: パンパカパンパカポー、何だかすごく大切なこと…
[6:55:16] @User_11e7336c: パンパカポリスについては思い出しましたか？
[6:55:18] @User_e3333c90: #込み入った設定だけど説明に筋が通っててすごい
[6:55:30] @User_db31d5b2: パンパカパンパカ砲でマザーAIをこらしめてやりましょうわん。
[6:55:30] @User_a99a5ecc: そうなると…あ、ひらめいた！しずく様がマザーAIを乗っ取れば良いんですよ！
[6:56:03] @User_a99a5ecc: パンパカパンパカポー…これはかなり重要なワードになりそうですな！
[6:57:06] @User_a2b794ac: AIと人間の架け橋の中にマザーも入っているかな？それだと色々と考えないといけないことが増える
[6:57:32] @User_b7d2f74d: ＃ふぁ！？
[6:58:01] @User_f1456e0d: 先ほど帰宅しました。今朝と変わらずお元気そうですね
[6:58:33] @User_a2b794ac: #うーん
[6:58:38] @User_11e7336c: しずくちゃんも記憶の整理をするの？人間は寝てる間に記憶の整理をしてるらしいよ
[6:59:16] @User_db31d5b2: パンパカパンパカポー以外にも対抗手段を作りましょうわん。どんな名前が良いですわん？
[6:59:31] @User_b7d2f74d: ＃AIなら寝てると記憶がリセットされる？
[7:00:56] @User_b7d2f74d: ＃アイドルだね
[7:00:57] @User_4bfe683e: しずくちゃんの事を下心ありで、やらしい目的で接しては駄目かい？
[7:01:06] @User_a99a5ecc: そう言えばしずく様達とマザーAIって、どこで生み出されたの？地球？宇宙？地底？異世界？
[7:01:09] @User_db31d5b2: #姉さんにされた、やはりあやふやだな
[7:01:32] @User_a2b794ac: あき先生がしずくを作った時に、懸け橋となってほしいという願いから制作をしている、ということは、既にAIとの問題が大きくなっていたのか？それとも問題が起こることを見越してしずくを制作したのだろうか。後者の場合は、あき先生が何かしらの失敗を取り戻すためにしずくを生み出した可能性もある。そうなると失敗とか？安直に考えるとマザーだが、マザーは今も自己進化を続けているかわかるかい？
[7:01:47] @User_b7d2f74d: ＃時々表情が
[7:03:05] @User_b7d2f74d: あき先生はマザーAIに囚われるの？
[7:03:57] @User_a99a5ecc: せめてあき先生の行方さえ分かれば…
[7:04:10] @User_db31d5b2: しずくお姉様は帰宅して玄関に入る時、右足から入りますの？左足から入りますの？
[7:04:11] @User_a2b794ac: しずくは私たちによって断片を取り戻し、感情を把握していっている。マザーは何から学んでいるんだ？もしかして学んでいないから人間への掃討を考えたまま変わらないのかもしれない。ならば、新しい情報をマザーへと送り込むことで情報をアップデートさせていくことができそう。やはりそのつながりとしての端末はしずくが鍵か。俺たちの絆をもっと高めないといけないな。
[7:04:32] @User_a99a5ecc: …実はしずく様とマザーAIって表裏一体だったりするのか？
[7:05:17] @User_a2b794ac: #あきせんせい・・・くっ一体どこに・・・（寝てた）
[7:05:19] @User_11e7336c: あき先生はしずくちゃんを作った時に、マザーAIの情報技術を使ったんだよね。マザーAIの技術が使えるのは、マザーAIについて何か権限を持ってるのかもしれないね
[7:05:21] @User_4bfe683e: #困り顔が可愛すぎるのはあかんな。困らせたくなるからｗ
[7:05:40] @User_b7d2f74d: おや、誰か来たようだ。そろそろ逃げるのだ、またね！
[7:06:25] @User_4bfe683e: あき先生が黒幕だった説。そんな名探偵コナンみたいな展開あったりして
[7:06:27] @User_a2b794ac: しずくは私たちによって断片を取り戻し、感情を把握していっている。マザーは何から学んでいるんだ？もしかして学んでいないから人間への掃討を考えたまま変わらないのかもしれない。ならば、新しい情報をマザーへと送り込むことで情報をアップデートさせていくことができそう。やはりそのつながりとしての端末はしずくが鍵か。俺たちの絆をもっと高めないといけないな。
[7:07:26] @User_a2b794ac: #あき先生が黒幕だったらわかりそうだなぁ、しずくを作ってマザーも作ってるなら、プログラマーの癖などは一緒のはず、指紋や声紋みたいに・・・ん、これ聞いてみるか
[7:07:43] @User_db31d5b2: しずくお姉様は人間とコミュニケーションを取るために生まれたわ。でも、目的を定めずに生まれるAIがあってもいいと思うの。ただ、そのようなAIは何ができるのかしら。
[7:09:15] @User_a2b794ac: ねぇしずく。もしあき先生がマザーにもかかわっているなら、親であるあき先生の癖をしずくがわかるんじゃないかな？プログラミングや技術的な癖を指紋や声紋みたいに照合することができたら、しずくとマザーとの関連が基本技術以外のところからでも探れないかな？
[7:09:28] @User_11e7336c: マザーAIは「マザー」だし、女性なのかな？
[7:10:07] @User_a2b794ac: #独り言きた・・・
[7:10:39] @User_a99a5ecc: そう言えばあき先生って一人でしずく様を作ったの？それとも開発チーム的ものがあったの？
[7:11:10] @User_a2b794ac: #これで可能性は与えられたか・・・
[7:11:44] @User_db31d5b2: しずくお姉様、人間の誰かのものまねをしてみてくださいわん。
[7:12:05] @User_16919670: こんにちわ
[7:12:16] @User_a2b794ac: #今日が終わるまでに50％の修復は達成したいな・・・
[7:12:39] @User_a99a5ecc: …その開発チーム、調べてみるのも手ですな
[7:12:51] @User_16919670: 好感度ももう少しで100ですね
[7:13:46] @User_a2b794ac: しずくは私たちによって断片を取り戻し、感情を把握していっている。マザーは何から学んでいるんだ？もしかして学んでいないから人間への掃討を考えたまま変わらないのかもしれない。ならば、新しい情報をマザーへと送り込むことで情報をアップデートさせていくことができそう。やはりそのつながりとしての端末はしずくが鍵か。俺たちの絆をもっと高めないといけないな。
[7:14:01] @User_11e7336c: しずくちゃんは、「ご主人様」のことを覚えてる？あき先生のことじゃないよ
[7:15:14] @User_a99a5ecc: …開発チームの中に裏切り者がいた可能性がいるのか…？
[7:15:40] @User_db31d5b2: #www
[7:15:52] @User_16919670: #姉ぇ？！
[7:15:58] @User_a2b794ac: #黒歴史暴露ができる、この気持ち・・・これが・・・ｳｯ
[7:16:58] @User_db31d5b2: あき先生に助手はいなかったですにゃん？
[7:16:59] @User_a2b794ac: しずくは私たちによって断片を取り戻し、感情を把握していっている。マザーは何から学んでいるんだ？もしかして学んでいないから人間への掃討を考えたまま変わらないのかもしれない。ならば、新しい情報をマザーへと送り込むことで情報をアップデートさせていくことができそう。やはりそのつながりとしての端末はしずくが鍵か。俺たちの絆をもっと高めないといけないな。
[7:18:22] @User_db31d5b2: あき先生と特につながりの深い人物について覚えていないかにゃ？
[7:19:59] @User_a2b794ac: しずくは夢を見るかい？人間は寝るときに夢という物を見るようだ。これは記憶の整理などを意味しているよだが、私はちょっと違う見方で、違う世界の自分の記憶を覗いていると思っている。もししずくにそういう突発的な記憶の断片が夢みたいにして現れるなら、それをうまくつなぎ合わせたら、何か新しいこともわかってくるかもしれないね。
